pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_11,B2,2,B2_p2,2026-06-12 13:30:00,2,5,47.356382866086335,33.89879286036982,33.851719441314415,33.041891001270784
pig_11,B2,2,B2_p2,2026-06-12 15:00:00,2,5,67.22115656892946,46.54570450773793,46.45758813384056,46.61013315761713
pig_11,B2,2,B2_p2,2026-06-12 15:30:00,2,5,50.93862529302301,33.83778323629053,33.56760354174271,34.33832917597408
pig_11,B2,2,B2_p2,2026-06-12 16:00:00,2,5,46.54012325822209,32.693158814944105,32.37133636258364,32.7829634437121
pig_11,B2,2,B2_p2,2026-06-12 16:30:00,2,5,47.845962180291046,32.00485882668145,32.00600003907122,32.6224317416638
pig_11,B2,2,B2_p2,2026-06-12 17:00:00,2,5,45.47176969979921,31.570039046438637,31.60346380885176,31.9684324293306
pig_11,B2,2,B2_p2,2026-06-12 17:30:00,2,5,44.57915039787066,32.82157620781404,31.964795232735554,32.35123460112922
pig_11,B2,2,B2_p2,2026-06-12 18:00:00,2,5,46.260516582632434,32.87687217514017,31.990755475024482,32.23086048806093
pig_11,B2,2,B2_p2,2026-06-12 18:30:00,2,5,47.12959782602856,32.24736539354876,31.70628031323909,31.91406757884746
pig_11,B2,2,B2_p2,2026-06-12 19:00:00,2,5,45.63425236484291,32.57193054490959,31.65648652291084,31.954827638472246
pig_11,B2,2,B2_p2,2026-06-12 19:30:00,2,5,45.6543064226191,32.01320020389763,30.322581872178965,31.104097192856123
pig_11,B2,2,B2_p2,2026-06-12 20:00:00,2,5,44.91317141018561,31.29545960150042,29.61693010018242,30.07744276601648
pig_11,B2,2,B2_p2,2026-06-12 20:30:00,2,5,46.4177020044705,31.37137317950326,31.098770211842698,30.590878429279492
pig_11,B2,2,B2_p2,2026-06-12 21:00:00,2,5,42.920323885788186,32.27973830180737,31.342250468153257,31.008373985880056
pig_11,B2,2,B2_p2,2026-06-12 21:30:00,2,5,44.694143999937936,30.876880833755756,30.11662844307395,29.920502413566624
pig_11,B2,2,B2_p2,2026-06-12 22:00:00,2,5,43.12581837603626,31.349385704507966,31.145163148995426,30.4504938038257
pig_11,B2,2,B2_p2,2026-06-12 22:30:00,2,5,44.18488855632735,30.544547739039416,30.374142141991406,29.715511652368242
pig_11,B2,2,B2_p2,2026-06-12 23:00:00,2,5,44.91859486156006,31.27637893847573,30.409099518165753,30.25390976905824
