pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Metabolic body weight,predicted_HP__Heart rate · Ridge,predicted_HP__Heart rate · LightGBM,predicted_HP__ODBA · Ridge,predicted_HP__ODBA · LightGBM,predicted_HP__Heart rate + ODBA · Ridge,predicted_HP__Heart rate + ODBA · LightGBM,predicted_HP__Main model (uncalibrated)
pig_19,B2,6,B2_p6,2026-07-03 16:00:00,3,2,72.80372985237892,39.15272087662441,45.12290486190518,49.81329391252582,42.9643821501596,45.97626144914461,47.1022008250854,50.81946628692947,50.973022055525334
pig_19,B2,6,B2_p6,2026-07-03 16:30:00,3,2,44.92280418298598,39.16984222556819,43.25228827903442,43.92126979467251,37.01899438858795,36.789214555790466,41.21948603892686,43.81930137875245,46.157221708594285
pig_19,B2,6,B2_p6,2026-07-03 17:00:00,3,2,42.108809829369314,39.18668294257786,43.44855210460646,45.92165518505634,38.932966213790415,43.102166351967256,42.744081526244074,45.526995540784945,46.45955276148371
pig_19,B2,6,B2_p6,2026-07-03 17:30:00,3,2,39.36706006038135,39.20352124746585,40.31623227454166,40.868448591870546,38.72219826399344,41.90482184836655,39.83684866600273,40.916143643300934,44.670346968044
pig_19,B2,6,B2_p6,2026-07-03 18:00:00,3,2,41.02188722331255,39.22035714195866,41.071230527887224,41.03583887878525,36.980187466549566,36.60264710234178,39.249156074048045,41.165244966290835,43.10693937554417
pig_19,B2,6,B2_p6,2026-07-03 18:30:00,3,2,52.058045806105035,39.237184394178975,41.77467533266086,42.53271289534028,37.46997314457077,38.35881567665183,40.204855019911264,41.44067020479104,42.452210445440684
pig_19,B2,6,B2_p6,2026-07-03 19:00:00,3,2,34.93053532005813,39.2540139157653,40.90597871791783,41.221968729461864,37.48407018117254,38.37526845037715,39.44306330045975,39.7067853426515,42.34442652120953
pig_19,B2,6,B2_p6,2026-07-03 19:30:00,3,2,45.29600671273526,39.270844148477195,40.35282349624673,39.59946794227441,41.04519868220933,43.012335284570135,41.482818983185865,45.35849966736729,41.798982824502716
pig_19,B2,6,B2_p6,2026-07-03 20:00:00,3,2,36.41986756846894,39.28766730403405,39.2666390280173,39.29229985665248,38.64301071226153,40.832250568177656,38.8103543520777,40.661365507015624,40.267091139445384
pig_19,B2,6,B2_p6,2026-07-03 20:30:00,3,2,44.54015388271736,39.30533565279438,37.365977072805734,36.4249504592174,37.597461683365296,40.88609421442008,36.38869279481694,36.16759962790625,38.50512975808715
pig_19,B2,6,B2_p6,2026-07-03 21:00:00,3,2,32.19204475201208,39.321309528713556,36.04647502213964,33.824665499854476,37.32457016029741,35.38491804617574,35.02773327449955,32.052362606802156,36.5404158056937
pig_19,B2,6,B2_p6,2026-07-03 21:30:00,3,2,32.72914347686297,39.33812860037071,36.482503216983034,35.515186988860016,38.50440991455666,39.402284539609795,36.24007521674382,36.20202004266129,37.89172777421115
pig_19,B2,6,B2_p6,2026-07-03 22:00:00,3,2,34.29343880522399,39.35494060482992,37.2261476935441,36.02147966092213,37.886609250958315,42.05914397386108,36.44265642519309,36.98930855090868,39.29058777661918
pig_19,B2,6,B2_p6,2026-07-03 22:30:00,3,2,29.527000201391154,39.37175488552987,37.79803380647921,38.528774645662615,37.08026451274718,37.800169764624094,36.36038413470257,35.875319774878385,38.737463047120855
pig_19,B2,6,B2_p6,2026-07-03 23:00:00,3,2,32.911450223563726,39.38856521657462,38.30557233672221,38.143676025375626,36.931691818236054,36.08335442688749,36.6898814004023,40.53550548887433,38.197692234646354
pig_19,B2,6,B2_p6,2026-07-03 23:30:00,3,2,33.62063059631194,39.40537160033034,37.56106291143906,36.41050840912491,37.73180754724493,40.99015334806835,36.59651694617701,36.408173285627214,38.072756149324135
pig_19,B2,6,B2_p6,2026-07-04 00:00:00,3,2,30.77634156403993,39.422180262995866,38.88469909662939,39.135880408076716,37.51111541273496,34.37088564318422,37.59046224190128,36.00911148065376,38.190474164355145
pig_19,B2,6,B2_p6,2026-07-04 00:30:00,3,2,33.94740992332152,39.43898653706523,38.56204064405093,37.74975603763433,37.70329615559126,40.38655680373162,37.4343635287136,37.52073870521166,39.09744998020739
pig_19,B2,6,B2_p6,2026-07-04 01:00:00,3,2,34.21398568771201,39.455781091132465,35.66604886999547,34.82926527811667,37.96119407314156,39.719260772051385,35.06803326955797,33.57803498265643,36.54080835364705
pig_19,B2,6,B2_p6,2026-07-04 01:30:00,3,2,32.989353182307674,39.47258414971668,34.43012049757266,35.79386428001701,37.62893084188772,37.69282041476566,33.73762511090075,33.12583893702288,33.84159565568147
pig_19,B2,6,B2_p6,2026-07-04 02:00:00,3,2,34.13097146536839,39.489380159117395,34.27615497263688,38.33611950459204,37.49457462021484,35.536163402805236,33.49705894408764,33.71602136870503,33.663049328452075
pig_19,B2,6,B2_p6,2026-07-04 02:30:00,3,2,31.256359311108646,39.50617067786369,33.87833257973194,33.20299826647107,37.504296431728434,35.551273050396105,33.14516970887919,30.19966641101557,34.103966243594726
pig_19,B2,6,B2_p6,2026-07-04 03:00:00,3,2,31.533375926823673,39.52296037286913,34.25190586623056,38.36871903089985,38.706202075619494,39.81161011522744,34.318457671983126,37.832062152614796,35.96034768673951
pig_19,B2,6,B2_p6,2026-07-04 03:30:00,3,2,32.131094060941386,39.53975390840259,35.66121041562043,35.369293999858705,37.58991298412507,35.903682820515385,34.75005979646223,33.159324469090386,36.119578933137596
pig_19,B2,6,B2_p6,2026-07-04 04:00:00,3,2,30.30120523674144,39.55653884994499,34.617295138961616,37.054145578555826,37.39165999828674,37.15240889801611,33.68346203451037,33.272983553732075,34.90997391909255
pig_19,B2,6,B2_p6,2026-07-04 04:30:00,3,2,34.50178403760067,39.573322971692406,33.71833275679425,33.745107811285344,39.363373285954935,42.98862500131834,34.28859174221273,33.18728016900178,37.48152925569248
pig_19,B2,6,B2_p6,2026-07-04 05:00:00,3,2,32.90981730921903,39.59010472090773,35.23392372491425,33.92941912573489,38.090825787635865,39.85448139451402,34.702196932332804,33.34548780922121,35.374053090523546
pig_19,B2,6,B2_p6,2026-07-04 05:30:00,3,2,37.59612545478314,39.6068887598761,36.07293344736436,34.30437823052582,46.25846252034563,46.1580824367916,41.24195176987742,36.800309653255106,40.658450675207334
pig_19,B2,6,B2_p6,2026-07-04 06:00:00,3,2,43.69626543617989,39.623656448492135,36.52936061964369,35.13200422407316,46.65031653730534,48.89162168627581,41.911323648561094,34.4834922162359,41.969626131416604
pig_19,B2,6,B2_p6,2026-07-04 06:30:00,3,2,44.29171936729448,39.64042953771748,33.16088028463662,31.068132227531663,53.618949678470614,54.462841742175655,43.90732817788032,47.42735182740886,45.296515564933095
pig_19,B2,6,B2_p6,2026-07-04 07:00:00,3,2,34.09699485211476,39.65720957881348,33.54807826310122,34.20415272875641,43.60542120953438,46.568672498764215,37.10937471322881,36.709252320895146,38.220817558600146
pig_19,B2,6,B2_p6,2026-07-04 07:30:00,3,2,28.531074784519276,39.67397793758547,37.54326940584684,36.31349374139869,44.00351339289125,44.517246090665274,40.88696158811119,35.78611205270242,38.839161276383244
pig_19,B2,6,B2_p6,2026-07-04 10:00:00,4,2,33.34426975600741,39.65716674534809,32.152332752495376,31.316440915161554,42.52895085884734,43.46241586180669,35.11898457449274,34.26072602932154,35.50381979688029
pig_19,B2,6,B2_p6,2026-07-04 10:30:00,4,2,37.099198481738426,39.5864523741301,31.05437811337955,31.334286946491886,47.34204328409405,43.714302982506695,37.62361539335323,33.18864624701676,40.67036832084127
pig_19,B2,6,B2_p6,2026-07-04 11:00:00,4,2,42.75611221567889,39.515728629754875,32.092414209587105,31.204750172891202,49.54035097425012,49.45172992052332,40.14046835676001,43.81768879666264,44.959967404687525
pig_19,B2,6,B2_p6,2026-07-04 11:30:00,4,2,33.666934901491686,39.44495611169424,31.463242249022223,26.02274442981314,44.80902257292467,44.61408935310348,36.26253061003347,31.466784634283425,39.86391443558877
